iter	Passed	Remaining
401	18106	26935
402	18173	26921
403	18240	26909
404	18287	26867
405	18335	26826
406	18397	26805
407	18443	26761
408	18491	26720
409	18543	26684
410	18592	26645
411	18637	26599
412	18689	26563
413	18733	26515
414	18778	26471
415	18820	26421
416	18871	26384
417	18939	26369
418	18992	26336
419	19043	26298
420	19093	26258
421	19134	26207
422	19173	26154
423	19215	26103
424	19254	26049
425	19296	26001
426	19338	25951
427	19382	25903
428	19443	25879
429	19506	25856
430	19561	25824
431	19612	25787
432	19653	25735
433	19695	25686
434	19733	25631
435	19768	25571
436	19801	25511
437	19838	25455
438	19872	25395
439	19905	25334
440	19938	25274
441	19978	25221
442	20014	25165
443	20055	25114
444	20103	25073
445	20136	25012
446	20170	24954
447	20205	24895
448	20244	24843
449	20283	24790
450	20322	24737
451	20359	24683
452	20399	24632
453	20432	24573
454	20468	24517
455	20512	24471
456	20553	24420
457	20599	24377
458	20652	24342
459	20699	24299
460	20742	24252
461	20780	24198
462	20820	24148
463	20864	24101
464	20906	24054
465	20948	24004
466	20989	23955
467	21032	23908
468	21074	23860
469	21117	23812
470	21157	23763
471	21205	23721
472	21252	23679
473	21298	23634
474	21342	23588
475	21393	23550
476	21440	23508
477	21488	23466
478	21533	23421
479	21580	23378
480	21626	23335
481	21671	23290
482	21712	23240
483	21749	23187
484	21783	23131
485	21823	23081
486	21861	23028
487	21899	22976
488	21935	22922
489	21977	22874
490	22015	22822
491	22058	22775
492	22099	22726
493	22136	22673
494	22175	22623
495	22220	22578
496	22265	22534
497	22312	22491
498	22351	22440
499	22392	22392
500	22429	22340
501	22466	22287
502	22503	22234
503	22544	22186
504	22585	22138
505	22626	22089
506	22667	22041
507	22700	21985
508	22739	21935
509	22777	21884
510	22812	21830
511	22851	21780
512	22889	21729
513	22926	21677
514	22964	21626
515	22999	21572
516	23037	21522
517	23075	21471
518	23109	21417
519	23150	21369
520	23185	21316
521	23221	21264
522	23259	21213
523	23296	21162
524	23333	21111
525	23370	21060
526	23407	21008
527	23442	20956
528	23476	20902
529	23512	20851
530	23547	20798
531	23582	20745
532	23619	20694
533	23654	20642
534	23693	20593
535	23726	20539
536	23762	20487
537	23797	20435
538	23829	20381
539	23866	20330
540	23902	20279
541	23934	20225
542	23969	20173
543	24003	20120
544	24043	20072
545	24078	20021
546	24114	19970
547	24153	19922
548	24186	19869
549	24223	19819
550	24266	19774
551	24304	19725
552	24342	19676
553	24377	19624
554	24412	19573
555	24446	19521
556	24482	19471
557	24520	19422
558	24554	19371
559	24591	19321
560	24625	19270
561	24664	19222
562	24701	19173
563	24741	19126
564	24780	19078
565	24822	19033
566	24867	18990
567	24906	18942
568	24949	18898
569	24985	18848
570	25026	18803
571	25066	18756
572	25106	18709
573	25139	18657
574	25173	18606
575	25212	18559
576	25247	18509
577	25284	18460
578	25322	18412
579	25361	18364
580	25402	18319
581	25439	18270
582	25479	18224
583	25515	18175
584	25551	18126
585	25587	18077
586	25625	18029
587	25661	17980
588	25702	17934
589	25741	17888
590	25802	17856
591	25843	17810
592	25880	17763
593	25921	17717
594	25959	17669
595	25997	17622
596	26039	17577
597	26078	17530
598	26115	17482
599	26153	17435
600	26188	17386
601	26223	17336
602	26263	17291
603	26300	17243
604	26335	17194
605	26370	17145
606	26408	17097
607	26442	17048
608	26479	17000
609	26515	16952
610	26551	16904
611	26585	16854
612	26619	16805
613	26657	16758
614	26694	16711
615	26729	16662
616	26767	16615
617	26801	16566
618	26837	16518
619	26879	16474
620	26918	16428
621	26954	16380
622	26990	16332
623	27029	16287
624	27068	16240
625	27109	16196
626	27149	16150
627	27189	16105
628	27229	16060
629	27263	16012
630	27297	15963
631	27332	15915
632	27372	15870
633	27405	15820
634	27442	15773
635	27478	15726
636	27511	15677
637	27547	15630
638	27580	15581
639	27614	15533
640	27649	15485
641	27683	15437
642	27719	15390
643	27754	15342
644	27791	15295
645	27823	15246
646	27857	15198
647	27891	15151
648	27922	15101
649	27958	15054
650	27992	15006
651	28029	14960
652	28064	14913
653	28098	14865
654	28133	14818
655	28167	14770
656	28199	14722
657	28231	14673
658	28268	14627
659	28302	14580
660	28339	14534
661	28406	14503
662	28452	14462
663	28486	14415
664	28521	14368
665	28557	14321
666	28594	14275
667	28630	14229
668	28665	14182
669	28702	14137
670	28737	14090
671	28773	14044
672	28807	13997
673	28844	13951
674	28877	13903
675	28914	13858
676	28952	13813
677	28986	13766
678	29025	13721
679	29061	13675
680	29097	13630
681	29130	13582
682	29166	13536
683	29199	13490
684	29232	13442
685	29265	13395
686	29302	13350
687	29339	13305
688	29379	13261
689	29421	13218
690	29460	13174
691	29502	13131
692	29542	13087
693	29580	13042
694	29617	12997
695	29658	12954
696	29698	12910
697	29738	12866
698	29778	12823
699	29816	12778
700	29855	12734
701	29892	12689
702	29933	12646
703	29971	12601
704	30010	12557
705	30051	12514
706	30085	12468
707	30124	12424
708	30165	12380
709	30203	12336
710	30241	12292
711	30283	12249
712	30326	12207
713	30365	12163
714	30406	12119
715	30441	12074
716	30475	12028
717	30509	11982
718	30545	11937
719	30579	11892
720	30616	11847
721	30651	11801
722	30683	11755
723	30718	11710
724	30754	11665
725	30792	11621
726	30827	11576
727	30861	11530
728	30896	11485
729	30935	11441
730	30972	11397
731	31009	11353
732	31042	11307
733	31078	11262
734	31113	11217
735	31146	11171
736	31178	11126
737	31211	11080
738	31249	11036
739	31285	10992
740	31324	10948
741	31361	10904
742	31398	10860
743	31448	10821
744	31502	10782
745	31554	10743
746	31606	10704
747	31668	10669
748	31744	10638
749	31805	10601
750	31858	10562
751	31904	10521
752	31947	10479
753	31992	10437
754	32037	10396
755	32073	10351
756	32118	10310
757	32164	10268
758	32203	10225
759	32244	10182
760	32284	10139
761	32322	10095
762	32359	10051
763	32395	10006
764	32429	9962
765	32464	9917
766	32508	9875
767	32560	9836
768	32596	9791
769	32635	9748
770	32672	9704
771	32712	9661
772	32746	9616
773	32778	9570
774	32813	9526
775	32849	9482
776	32894	9440
777	32931	9396
778	32971	9353
779	33012	9311
780	33048	9267
781	33089	9224
782	33138	9183
783	33189	9144
784	33237	9103
785	33283	9062
786	33331	9021
787	33378	8979
788	33422	8938
789	33462	8895
790	33508	8853
791	33545	8809
792	33581	8765
793	33620	8722
794	33659	8679
795	33692	8634
796	33728	8590
797	33764	8546
798	33803	8503
799	33841	8460
800	33883	8417
801	33929	8376
802	33987	8338
803	34038	8297
804	34091	8258
805	34144	8218
806	34184	8175
807	34223	8132
808	34259	8088
809	34296	8044
810	34333	8001
811	34366	7956
812	34402	7913
813	34439	7869
814	34475	7825
815	34510	7781
816	34543	7737
817	34579	7693
818	34615	7650
819	34649	7606
820	34687	7562
821	34722	7519
822	34756	7475
823	34790	7430
824	34826	7387
825	34858	7343
826	34890	7298
827	34924	7254
828	34957	7210
829	34993	7167
830	35028	7123
831	35064	7080
832	35098	7036
833	35132	6992
834	35169	6949
835	35212	6907
836	35260	6866
837	35296	6823
838	35337	6781
839	35373	6737
840	35407	6694
841	35443	6650
842	35476	6607
843	35511	6563
844	35545	6520
845	35583	6477
846	35616	6433
847	35655	6391
848	35690	6347
849	35727	6304
850	35762	6261
851	35796	6218
852	35830	6174
853	35871	6132
854	35908	6089
855	35944	6046
856	35980	6003
857	36017	5960
858	36051	5917
859	36087	5874
860	36119	5831
861	36151	5787
862	36184	5744
863	36219	5701
864	36259	5659
865	36301	5617
866	36340	5574
867	36381	5532
868	36423	5490
869	36462	5448
870	36499	5405
871	36537	5363
872	36572	5320
873	36604	5277
874	36641	5234
875	36682	5192
876	36719	5149
877	36756	5107
878	36793	5064
879	36830	5022
880	36863	4979
881	36898	4936
882	36934	4893
883	36973	4851
884	37007	4808
885	37043	4766
886	37077	4723
887	37113	4680
888	37148	4638
889	37184	4595
890	37217	4553
891	37251	4510
892	37288	4467
893	37323	4425
894	37360	4383
895	37402	4341
896	37442	4299
897	37482	4257
898	37522	4215
899	37568	4174
900	37615	4133
901	37663	4092
902	37712	4051
903	37759	4009
904	37807	3968
905	37854	3927
906	37889	3885
907	37926	3842
908	37961	3800
909	37999	3758
910	38036	3715
911	38074	3673
912	38120	3632
913	38167	3591
914	38225	3550
915	38278	3510
916	38325	3468
917	38372	3427
918	38412	3385
919	38458	3344
920	38492	3301
921	38530	3259
922	38577	3218
923	38621	3176
924	38675	3135
925	38722	3094
926	38763	3052
927	38802	3010
928	38841	2968
929	38882	2926
930	38923	2884
931	38960	2842
932	39007	2801
933	39058	2760
934	39121	2719
935	39172	2678
936	39220	2636
937	39263	2595
938	39342	2555
939	39403	2515
940	39452	2473
941	39504	2432
942	39553	2390
943	39608	2349
944	39665	2308
945	39713	2266
946	39764	2225
947	39817	2184
948	39871	2142
949	39923	2101
950	39970	2059
951	40016	2017
952	40058	1975
953	40103	1933
954	40146	1891
955	40180	1849
956	40213	1806
957	40249	1764
958	40286	1722
959	40320	1680
960	40356	1637
961	40390	1595
962	40423	1553
963	40458	1510
964	40492	1468
965	40528	1426
966	40564	1384
967	40596	1342
968	40632	1299
969	40668	1257
970	40701	1215
971	40736	1173
972	40769	1131
973	40807	1089
974	40848	1047
975	40892	1005
976	40958	964
977	41025	922
978	41081	881
979	41135	839
980	41177	797
981	41226	755
982	41265	713
983	41309	671
984	41346	629
985	41400	587
986	41448	545
987	41497	504
988	41539	462
989	41583	420
990	41630	378
991	41676	336
992	41730	294
993	41776	252
994	41823	210
995	41865	168
996	41912	126
997	41955	84
998	41992	42
999	42033	0
