iter	Logloss
256	0.3191310148
257	0.3191254663
258	0.3191145351
259	0.3191055747
260	0.319099254
261	0.3190861689
262	0.3190779229
263	0.3190674509
264	0.3190609612
265	0.3190524012
266	0.3190432509
267	0.3190329259
268	0.3190269083
269	0.3190192116
270	0.3190011121
271	0.3189955571
272	0.3189745711
273	0.3189660983
274	0.3189546991
275	0.3189454495
276	0.3189383647
277	0.3189329394
278	0.3189200501
279	0.3189085892
280	0.3188950689
281	0.318887728
282	0.3188765021
283	0.318871048
284	0.3188655928
285	0.3188540552
286	0.3188479966
287	0.318837818
288	0.3188333551
289	0.318826223
290	0.3188178122
291	0.3188090174
292	0.3188015797
293	0.3187870366
294	0.3187818531
295	0.3187748219
296	0.3187693016
297	0.3187594543
298	0.3187459364
299	0.318733357
300	0.318725152
301	0.3187182086
302	0.3187105514
303	0.3186960931
304	0.3186923979
305	0.3186845492
306	0.3186714702
307	0.3186611479
308	0.3186477264
309	0.318634101
310	0.3186261032
311	0.3186154549
312	0.3186094797
313	0.3185966831
314	0.3185850223
315	0.3185766323
316	0.3185734439
317	0.3185625019
318	0.3185530368
319	0.3185476939
320	0.3185334387
321	0.3185220067
322	0.3185128959
323	0.3185069707
324	0.318498793
325	0.3184932485
326	0.3184801963
327	0.3184691946
328	0.3184555389
329	0.318447767
330	0.318442045
331	0.3184366463
332	0.3184273836
333	0.3184191021
334	0.3184119984
335	0.3184027473
336	0.3183963769
337	0.3183934246
338	0.3183838044
339	0.3183739686
340	0.318368247
341	0.3183623651
342	0.318355628
343	0.3183484019
344	0.3183388666
345	0.3183282557
346	0.3183232255
347	0.3183163312
348	0.3183054047
349	0.3182956851
350	0.3182875095
351	0.3182797817
352	0.3182682521
353	0.3182632877
354	0.3182477554
355	0.3182387864
356	0.3182292827
357	0.3182240379
358	0.318214232
359	0.318202097
360	0.3181979358
361	0.318184881
362	0.3181787246
363	0.3181747615
364	0.3181708634
365	0.3181632567
366	0.3181569336
367	0.3181457552
368	0.3181411514
369	0.3181264782
370	0.3181200604
371	0.3181101179
372	0.3181041519
373	0.3180997397
374	0.3180909187
375	0.3180840712
376	0.3180807397
377	0.3180766486
378	0.3180685088
379	0.3180625019
380	0.3180596203
381	0.3180550162
382	0.3180499475
383	0.3180351669
384	0.3180232611
385	0.3180183309
386	0.3180154518
387	0.318008491
388	0.3179987174
389	0.3179890065
390	0.3179842321
391	0.3179652794
392	0.3179613264
393	0.317957325
394	0.3179530702
395	0.317949101
396	0.3179448613
397	0.3179420208
398	0.3179351557
399	0.3179267979
400	0.3179153817
401	0.3179106621
402	0.3179000655
403	0.3178916344
404	0.3178798211
405	0.3178739344
406	0.3178596874
407	0.3178509505
408	0.3178432881
409	0.317839094
410	0.3178323099
411	0.3178246679
412	0.3178152663
413	0.3178067979
414	0.3177997543
415	0.3177969824
416	0.3177819584
417	0.3177743423
418	0.3177657824
419	0.3177584693
420	0.3177434514
421	0.3177366152
422	0.3177293565
423	0.3177194787
424	0.3177140183
425	0.3177070975
426	0.3176956904
427	0.3176876382
428	0.3176813616
429	0.3176738272
430	0.3176633892
431	0.3176532772
432	0.3176477188
433	0.3176391725
434	0.3176318689
435	0.3176242533
436	0.3176188073
437	0.3176079333
438	0.317603494
439	0.3176008505
440	0.3175981386
441	0.3175913715
442	0.3175809312
443	0.3175765757
444	0.3175741667
445	0.3175649061
446	0.3175610127
447	0.3175580403
448	0.3175461814
449	0.3175414993
450	0.3175327391
451	0.3175291186
452	0.3175229539
453	0.3175185064
454	0.3175101884
455	0.3174992196
456	0.3174930937
457	0.3174864083
458	0.317476121
459	0.3174710362
460	0.3174611502
461	0.3174549147
462	0.3174488085
463	0.3174397615
464	0.3174338137
465	0.3174231028
466	0.3174142042
467	0.3174081916
468	0.3174036617
469	0.3173960954
470	0.3173922606
471	0.3173775642
472	0.3173741884
473	0.3173703358
474	0.317366348
475	0.3173602919
476	0.3173552347
477	0.3173390035
478	0.3173333182
479	0.3173312259
480	0.3173237342
481	0.31731608
482	0.3173131368
483	0.3173024512
484	0.3172987685
485	0.3172878402
486	0.3172821262
487	0.3172776495
488	0.317273877
489	0.3172604732
490	0.3172527559
491	0.317242265
492	0.3172397764
493	0.3172338035
494	0.3172218645
495	0.3172119069
496	0.3171987518
497	0.3171930343
498	0.3171821928
499	0.3171721989
500	0.3171648876
501	0.3171566249
502	0.3171511497
503	0.3171425984
504	0.3171375251
505	0.3171291475
506	0.3171191554
507	0.3171130808
508	0.3171070451
509	0.3171018461
510	0.3170974697
511	0.3170897216
512	0.3170827573
513	0.3170694432
514	0.3170609331
515	0.3170549275
516	0.317051262
517	0.3170413533
518	0.3170368711
519	0.317026937
520	0.3170218895
521	0.3170159878
522	0.3170070253
523	0.3170000452
524	0.3169909842
525	0.3169876723
526	0.3169780667
527	0.3169747907
528	0.3169692388
529	0.3169593503
530	0.3169547402
531	0.3169477811
532	0.3169404151
533	0.3169356439
534	0.3169297881
535	0.3169234958
536	0.3169189711
537	0.3169112212
538	0.3169064103
539	0.3169009682
540	0.3168965311
541	0.31689333
542	0.3168890835
543	0.316882917
544	0.3168752978
545	0.3168690261
546	0.3168590697
547	0.3168513898
548	0.3168460309
549	0.3168356808
550	0.3168255814
551	0.3168201107
552	0.316812833
553	0.3168060317
554	0.316801335
555	0.3167974322
556	0.3167862597
557	0.3167755177
558	0.3167696501
559	0.3167636566
560	0.3167591351
561	0.3167492155
562	0.3167464918
563	0.3167348662
564	0.3167298434
565	0.3167177726
566	0.3167109603
567	0.3167061977
568	0.3166931023
569	0.3166872767
570	0.3166785199
571	0.3166697758
572	0.3166601816
573	0.3166533461
574	0.3166485885
575	0.3166379928
576	0.3166326207
577	0.3166275384
578	0.3166189355
579	0.3166151088
580	0.3166062749
581	0.3166014716
582	0.3165928061
583	0.3165858992
584	0.3165766266
585	0.3165726367
586	0.3165675684
587	0.3165596648
588	0.3165526211
589	0.3165470631
590	0.3165421023
591	0.3165340135
592	0.3165308181
593	0.3165256969
594	0.3165171278
595	0.3165095562
596	0.3165026969
597	0.3164938231
598	0.3164900297
599	0.3164823781
600	0.3164794438
601	0.3164728421
602	0.3164655809
603	0.31645501
604	0.3164461601
605	0.3164410935
606	0.3164308441
607	0.3164270855
608	0.3164247397
609	0.3164158986
610	0.3164064075
611	0.3164033273
612	0.3164011321
613	0.3163948761
614	0.316388652
615	0.3163835807
616	0.3163783982
617	0.3163751511
618	0.3163705712
619	0.3163658169
620	0.3163612183
621	0.3163570891
622	0.3163478011
623	0.3163420831
624	0.3163341116
625	0.3163273714
626	0.3163200191
627	0.3163098888
628	0.3163034906
629	0.3162981673
630	0.3162939762
631	0.3162862606
632	0.3162754573
633	0.3162702623
634	0.3162649968
635	0.3162545237
636	0.3162498446
637	0.3162404287
638	0.3162334868
639	0.3162300382
640	0.3162195358
641	0.3162147814
642	0.3162083408
643	0.3161987677
644	0.3161904884
645	0.3161836348
646	0.3161781263
647	0.3161750053
648	0.3161709766
649	0.3161639983
650	0.3161557078
651	0.3161483405
652	0.3161361819
653	0.3161302957
654	0.3161228826
655	0.3161174266
656	0.3161148432
657	0.3161108798
658	0.3161051134
659	0.3160965239
660	0.3160884671
661	0.3160752981
662	0.3160729363
663	0.3160692433
664	0.3160594366
665	0.3160536894
666	0.3160474665
667	0.3160407295
668	0.3160315962
669	0.3160232737
670	0.3160158801
671	0.3160107325
672	0.3160082555
673	0.3160006842
674	0.3159921641
675	0.3159829613
676	0.3159761973
677	0.3159709324
678	0.3159607493
679	0.3159531179
680	0.3159453911
681	0.3159365242
682	0.3159264746
683	0.3159211521
684	0.3159167506
685	0.3159100955
686	0.3159066035
687	0.315902099
688	0.3158926361
689	0.3158821505
690	0.3158765326
691	0.3158696612
692	0.3158634623
693	0.3158551999
694	0.3158532488
695	0.3158423672
696	0.3158325963
697	0.3158237459
698	0.315817808
699	0.3158071682
700	0.315800892
701	0.3157984516
702	0.3157930554
703	0.3157850405
704	0.315782681
705	0.3157757518
706	0.3157738135
707	0.3157696993
708	0.3157621519
709	0.315754893
710	0.3157484643
711	0.3157430995
712	0.3157401132
713	0.3157370327
714	0.3157310991
715	0.3157202803
716	0.3157169705
717	0.3157152122
718	0.3157097825
719	0.3157038841
720	0.3156983271
721	0.3156921402
722	0.3156875308
723	0.3156778784
724	0.3156688135
725	0.3156604545
726	0.3156546283
727	0.315651185
728	0.3156465268
729	0.3156410635
730	0.3156364172
731	0.3156306402
732	0.3156281369
733	0.315621683
734	0.3156152041
735	0.3156066639
736	0.3156045321
737	0.3156016459
738	0.3155960707
739	0.3155896326
740	0.315585447
741	0.3155799557
742	0.3155724203
743	0.3155658942
744	0.3155582784
745	0.315549166
746	0.3155432135
747	0.3155353693
748	0.315528162
749	0.31551962
750	0.3155129811
751	0.3155055126
752	0.3155006786
753	0.3154955503
754	0.3154876392
755	0.3154802886
756	0.3154746001
757	0.3154704876
758	0.315465018
759	0.3154611908
760	0.3154573397
761	0.3154531393
762	0.3154454517
763	0.3154409313
764	0.3154352617
765	0.3154330571
766	0.3154267379
767	0.3154169626
768	0.3154134051
769	0.3154097062
770	0.315404963
771	0.3153980238
772	0.3153947064
773	0.3153937046
774	0.3153902012
775	0.3153806819
776	0.3153744301
777	0.3153679592
778	0.315362724
779	0.3153554769
780	0.3153479904
781	0.3153368682
782	0.3153334757
783	0.3153260327
784	0.3153245389
785	0.315319977
786	0.3153114796
787	0.3153086161
788	0.315302582
789	0.3152915472
790	0.3152842974
791	0.315279528
792	0.3152751672
793	0.315266956
794	0.3152616722
795	0.3152570551
796	0.3152511736
797	0.3152463645
798	0.315241122
799	0.3152311339
800	0.3152254642
801	0.3152190463
802	0.3152133196
803	0.3152079554
804	0.315201974
805	0.3151986116
806	0.3151931512
807	0.3151863399
808	0.3151796686
809	0.3151733487
810	0.3151665934
811	0.3151634056
812	0.3151540023
813	0.3151451858
814	0.3151387934
815	0.3151331554
816	0.3151321297
817	0.3151268258
818	0.3151151274
819	0.3151126265
820	0.3151084107
821	0.3151034723
822	0.3150957505
823	0.3150897179
824	0.3150836804
825	0.315077404
826	0.3150749966
827	0.3150689924
828	0.3150641339
829	0.315057677
830	0.3150510448
831	0.3150434161
832	0.3150384645
833	0.3150342907
834	0.3150279559
835	0.3150227349
836	0.3150167794
837	0.3150117164
838	0.3150044993
839	0.3149976839
840	0.3149921675
841	0.314985605
842	0.3149777884
843	0.3149747008
844	0.3149705664
845	0.3149639232
846	0.314957082
847	0.3149491522
848	0.3149422363
849	0.3149330112
850	0.314929327
851	0.3149221508
852	0.3149206389
853	0.3149147633
854	0.3149107259
855	0.3149038122
856	0.314893535
857	0.3148850062
858	0.3148826281
859	0.3148746614
860	0.3148734382
861	0.3148693792
862	0.3148680648
863	0.3148617567
864	0.314854409
865	0.3148474067
866	0.3148425245
867	0.3148380901
868	0.3148307284
869	0.3148253676
870	0.3148170734
871	0.314810192
872	0.3148058042
873	0.3148029743
874	0.3147974774
875	0.3147888993
876	0.3147809419
877	0.314770528
878	0.3147657512
879	0.3147605023
880	0.3147566834
881	0.3147506756
882	0.3147453776
883	0.3147379581
884	0.3147346105
885	0.3147272292
886	0.3147245311
887	0.3147156876
888	0.3147084281
889	0.3147022631
890	0.3146965185
891	0.3146949692
892	0.3146880957
893	0.3146797483
894	0.3146763924
895	0.3146703099
896	0.3146651196
897	0.3146566774
898	0.3146505693
899	0.3146426748
900	0.314633372
901	0.3146244792
902	0.3146185808
903	0.3146100144
904	0.3146020426
905	0.3145932452
906	0.31458985
907	0.3145853346
908	0.3145842122
909	0.3145773892
910	0.3145710004
911	0.3145643013
912	0.314559079
913	0.3145513851
914	0.3145448124
915	0.3145405331
916	0.3145393946
917	0.3145313095
918	0.3145265505
919	0.3145201188
920	0.3145134249
921	0.3145113128
922	0.3145085505
923	0.3145050168
924	0.3145021138
925	0.314494733
926	0.3144887498
927	0.3144852425
928	0.3144802625
929	0.3144770902
930	0.3144661645
931	0.3144652513
932	0.3144581595
933	0.3144550685
934	0.3144520768
935	0.3144495317
936	0.31444399
937	0.3144409729
938	0.3144351315
939	0.314428626
940	0.3144275836
941	0.3144225106
942	0.3144206112
943	0.3144187557
944	0.3144151569
945	0.314411532
946	0.314406519
947	0.3143994475
948	0.3143917076
949	0.3143861509
950	0.3143795669
951	0.3143712133
952	0.3143690518
953	0.3143638747
954	0.3143588816
955	0.3143529185
956	0.3143488307
957	0.3143422768
958	0.314336893
959	0.3143300347
960	0.314324203
961	0.3143180227
962	0.314308874
963	0.3143032271
964	0.3142978135
965	0.3142925557
966	0.3142828696
967	0.3142773743
968	0.3142745645
969	0.3142701764
970	0.3142662123
971	0.3142643153
972	0.3142591951
973	0.3142532784
974	0.3142487692
975	0.3142464217
976	0.3142382657
977	0.314231968
978	0.3142277862
979	0.3142226142
980	0.3142158402
981	0.3142099882
982	0.3142047646
983	0.3141967966
984	0.3141936384
985	0.3141885481
986	0.3141860086
987	0.3141831623
988	0.3141795473
989	0.3141740954
990	0.3141683889
991	0.3141669273
992	0.3141573283
993	0.3141510905
994	0.314144722
995	0.3141403683
996	0.3141374261
997	0.3141338582
998	0.3141274511
999	0.3141203924
